bidder_id,lot_id,auction_id,amount,name,address,auction_id,auction_name,city,item_description
34,8,3,64,Bridget Geavonna Cadar Montano,"444 Carré Édouard, Saint-césaire, Qc, Canada",3,Selkirk Auctioneers,Selkirk,National Geographic Magazines 1988-1996
10,17,4,67,Hugh MacDonlevy,"28 Rd 1 SW, Waterville,wa, 98858  United States",4,Allied Auto Auctions,Winnipeg,Toolbox
26,10,3,68,Calvino Florinio Serad Cabangon,"123 South Railway Avenue, Chin, Ab, Canada",3,Selkirk Auctioneers,Selkirk,1970 Honda Moped
6,23,2,71,Darragh Sheahan,"13 Salt Kettle, Sandwich,ma, 2563  United States",2,Penner Auctions,Steinbach,1992 Nissan Silvia
24,9,3,71,Lisandro Elias Chincuanco Tolosa,"555 Chemin Demers, Lévis, Qc, Canada",3,Selkirk Auctioneers,Selkirk,1990 Massey Fergison
39,8,4,74,Carlotta Benita Aniban Alejo,"11 Chemin Des Quatre-pattes, Grand-remous, Qc, Canada",4,Allied Auto Auctions,Winnipeg,National Geographic Magazines 1988-1996
24,9,4,75,Lisandro Elias Chincuanco Tolosa,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,1990 Massey Fergison
31,25,3,78,Nixzaliz Madisen Gosum Etrone,"76543 Fairmont Terrace South, Lethbridge, Ab, Canada",3,Selkirk Auctioneers,Selkirk,1999 Mazda RX-7
22,6,3,82,Cayden Aaron Ibrahim Ceniza,"555 Chemin Demers, Lévis, Qc, Canada",3,Selkirk Auctioneers,Selkirk,Box of polka records
13,8,1,84,Mila Ahren,"322 Burton Street, Powell River, Bc, Canada",1,Mcdougall Auctions,Winnipeg,National Geographic Magazines 1988-1996
19,9,1,84,Alannah Miley,"555 Chemin Demers, Lévis, Qc, Canada",1,Mcdougall Auctions,Winnipeg,1990 Massey Fergison
30,6,4,89,Eldora Bianca Tengco Acuesta,"123 South Railway Avenue, Chin, Ab, Canada",4,Allied Auto Auctions,Winnipeg,Box of polka records
17,1,4,91,Margaret O'Shiel,"334 Alexander Avenue, Township Of James, On, Canada",4,Allied Auto Auctions,Winnipeg,Old lamp
15,12,2,91,Lena O'Neill,"12 58a Avenue, Lloydminster, Ab, Canada",2,Penner Auctions,Steinbach,5 definitely not stolen bicycles
19,24,2,99,Alannah Miley,"555 Chemin Demers, Lévis, Qc, Canada",2,Penner Auctions,Steinbach,1995 Subaru WRX
33,4,4,100,Taliyah Kenna Smith Valle,"333 Carré Édouard, Saint-césaire, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Gramophone
1,1,3,101,Tom O'Kirwan,"2 Salt Lake Street, North Las Vegas,nv, 89030  United States",3,Selkirk Auctioneers,Selkirk,Old lamp
25,17,4,102,Kolton Ginebra Ampuan Fajardo,"9987 Natal Street, Vancouver, Bc, Canada",4,Allied Auto Auctions,Winnipeg,Toolbox
5,1,1,102,Samuel Mitchell,"13 Salt Kettle, Sandwich,ma, 2563  United States",1,Mcdougall Auctions,Winnipeg,Old lamp
18,4,3,102,Orla MacColgan,"67543 Harvey Crescent, City Of Mississauga, On, Canada",3,Selkirk Auctioneers,Selkirk,Gramophone
8,12,3,104,Richard O'Shiel,"28 Rd 1 SW, Waterville,wa, 98858  United States",3,Selkirk Auctioneers,Selkirk,5 definitely not stolen bicycles
2,11,2,105,Leo O'Mangan,"16 Buckingham Square, Maysville,ky, 41056  United States",2,Penner Auctions,Steinbach,Riding Lawnmower
3,5,1,111,Victor O'Concannon,"4 Ranch K Lane, Nemo,sd, 53359  United States",1,Mcdougall Auctions,Winnipeg,Beer Stein
33,19,4,112,Taliyah Kenna Smith Valle,"333 Carré Édouard, Saint-césaire, Qc, Canada",4,Allied Auto Auctions,Winnipeg,3 winter tires
12,18,1,113,Harper O'Hart,"322 Burton Street, Powell River, Bc, Canada",1,Mcdougall Auctions,Winnipeg,Box of nuts and bolts
25,15,1,116,Kolton Ginebra Ampuan Fajardo,"9987 Natal Street, Vancouver, Bc, Canada",1,Mcdougall Auctions,Winnipeg,Powered swather
24,4,4,124,Lisandro Elias Chincuanco Tolosa,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Gramophone
7,3,4,126,Brendan O'Healy,"13 Salt Kettle, Sandwich,ma, 2563  United States",4,Allied Auto Auctions,Winnipeg,VCR
28,21,4,127,George Gracia Janani Borja,"123 South Railway Avenue, Chin, Ab, Canada",4,Allied Auto Auctions,Winnipeg,1992 Toyota MR2
30,13,3,129,Eldora Bianca Tengco Acuesta,"123 South Railway Avenue, Chin, Ab, Canada",3,Selkirk Auctioneers,Selkirk,A pile of catalytic converters
27,6,3,132,Felippe German Hussein Bautista,"123 South Railway Avenue, Chin, Ab, Canada",3,Selkirk Auctioneers,Selkirk,Box of polka records
36,3,2,138,Evelyn Gisselle Alonto Capulong,"533 Reunion Common North-west, Airdrie, Ab, Canada",2,Penner Auctions,Steinbach,VCR
13,14,1,139,Mila Ahren,"322 Burton Street, Powell River, Bc, Canada",1,Mcdougall Auctions,Winnipeg,3 broken push mowers
15,19,3,140,Lena O'Neill,"12 58a Avenue, Lloydminster, Ab, Canada",3,Selkirk Auctioneers,Selkirk,3 winter tires
12,11,3,142,Harper O'Hart,"322 Burton Street, Powell River, Bc, Canada",3,Selkirk Auctioneers,Selkirk,Riding Lawnmower
9,2,2,144,Austin Brennan,"28 Rd 1 SW, Waterville,wa, 98858  United States",2,Penner Auctions,Steinbach,Fancy stuffed Winnie the Pooh
27,13,4,144,Felippe German Hussein Bautista,"123 South Railway Avenue, Chin, Ab, Canada",4,Allied Auto Auctions,Winnipeg,A pile of catalytic converters
38,4,2,146,Eleanora Celina Cuajunco Dulay,"568 Chemin Des Quatre-pattes, Grand-remous, Qc, Canada",2,Penner Auctions,Steinbach,Gramophone
22,7,4,146,Cayden Aaron Ibrahim Ceniza,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Guiness Book of World Records 1998
38,12,3,149,Eleanora Celina Cuajunco Dulay,"568 Chemin Des Quatre-pattes, Grand-remous, Qc, Canada",3,Selkirk Auctioneers,Selkirk,5 definitely not stolen bicycles
30,14,3,150,Eldora Bianca Tengco Acuesta,"123 South Railway Avenue, Chin, Ab, Canada",3,Selkirk Auctioneers,Selkirk,3 broken push mowers
15,12,2,150,Lena O'Neill,"12 58a Avenue, Lloydminster, Ab, Canada",2,Penner Auctions,Steinbach,5 definitely not stolen bicycles
6,8,3,150,Darragh Sheahan,"13 Salt Kettle, Sandwich,ma, 2563  United States",3,Selkirk Auctioneers,Selkirk,National Geographic Magazines 1988-1996
14,13,4,150,Naomi Dunn,"322 Burton Street, Powell River, Bc, Canada",4,Allied Auto Auctions,Winnipeg,A pile of catalytic converters
33,20,1,154,Taliyah Kenna Smith Valle,"333 Carré Édouard, Saint-césaire, Qc, Canada",1,Mcdougall Auctions,Winnipeg,1990 Honda Prelude
22,22,2,155,Cayden Aaron Ibrahim Ceniza,"555 Chemin Demers, Lévis, Qc, Canada",2,Penner Auctions,Steinbach,1993 Toyota Soarer
11,12,3,158,Cora Murry,"12 Oak Street, Town Of Caledon, On, Canada",3,Selkirk Auctioneers,Selkirk,5 definitely not stolen bicycles
1,2,3,160,Tom O'Kirwan,"2 Salt Lake Street, North Las Vegas,nv, 89030  United States",3,Selkirk Auctioneers,Selkirk,Fancy stuffed Winnie the Pooh
24,10,2,161,Lisandro Elias Chincuanco Tolosa,"555 Chemin Demers, Lévis, Qc, Canada",2,Penner Auctions,Steinbach,1970 Honda Moped
24,18,4,161,Lisandro Elias Chincuanco Tolosa,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Box of nuts and bolts
37,11,1,163,Fernanda Liberty Macapodi Diwata,"344 Reunion Common North-west, Airdrie, Ab, Canada",1,Mcdougall Auctions,Winnipeg,Riding Lawnmower
33,13,1,164,Taliyah Kenna Smith Valle,"333 Carré Édouard, Saint-césaire, Qc, Canada",1,Mcdougall Auctions,Winnipeg,A pile of catalytic converters
27,23,4,167,Felippe German Hussein Bautista,"123 South Railway Avenue, Chin, Ab, Canada",4,Allied Auto Auctions,Winnipeg,1992 Nissan Silvia
20,6,1,168,Max Joaquin Singco Buenaventura,"555 Chemin Demers, Lévis, Qc, Canada",1,Mcdougall Auctions,Winnipeg,Box of polka records
13,1,4,172,Mila Ahren,"322 Burton Street, Powell River, Bc, Canada",4,Allied Auto Auctions,Winnipeg,Old lamp
19,5,4,173,Alannah Miley,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Beer Stein
1,18,3,173,Tom O'Kirwan,"2 Salt Lake Street, North Las Vegas,nv, 89030  United States",3,Selkirk Auctioneers,Selkirk,Box of nuts and bolts
36,26,2,174,Evelyn Gisselle Alonto Capulong,"533 Reunion Common North-west, Airdrie, Ab, Canada",2,Penner Auctions,Steinbach,1992 Nissan Figaro
32,1,4,175,Celesta Micah Marapao Batac,"22 Fairmont Terrace South, Lethbridge, Ab, Canada",4,Allied Auto Auctions,Winnipeg,Old lamp
11,3,2,176,Cora Murry,"12 Oak Street, Town Of Caledon, On, Canada",2,Penner Auctions,Steinbach,VCR
18,20,1,176,Orla MacColgan,"67543 Harvey Crescent, City Of Mississauga, On, Canada",1,Mcdougall Auctions,Winnipeg,1990 Honda Prelude
22,14,4,178,Cayden Aaron Ibrahim Ceniza,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,3 broken push mowers
17,22,4,178,Margaret O'Shiel,"334 Alexander Avenue, Township Of James, On, Canada",4,Allied Auto Auctions,Winnipeg,1993 Toyota Soarer
14,9,4,179,Naomi Dunn,"322 Burton Street, Powell River, Bc, Canada",4,Allied Auto Auctions,Winnipeg,1990 Massey Fergison
10,3,2,179,Hugh MacDonlevy,"28 Rd 1 SW, Waterville,wa, 98858  United States",2,Penner Auctions,Steinbach,VCR
16,5,4,179,Aoibhín O'Higgins,"22 Central Street, City Of Waterloo, On, Canada",4,Allied Auto Auctions,Winnipeg,Beer Stein
34,8,2,181,Bridget Geavonna Cadar Montano,"444 Carré Édouard, Saint-césaire, Qc, Canada",2,Penner Auctions,Steinbach,National Geographic Magazines 1988-1996
32,3,3,181,Celesta Micah Marapao Batac,"22 Fairmont Terrace South, Lethbridge, Ab, Canada",3,Selkirk Auctioneers,Selkirk,VCR
2,4,1,182,Leo O'Mangan,"16 Buckingham Square, Maysville,ky, 41056  United States",1,Mcdougall Auctions,Winnipeg,Gramophone
2,9,1,182,Leo O'Mangan,"16 Buckingham Square, Maysville,ky, 41056  United States",1,Mcdougall Auctions,Winnipeg,1990 Massey Fergison
26,14,4,183,Calvino Florinio Serad Cabangon,"123 South Railway Avenue, Chin, Ab, Canada",4,Allied Auto Auctions,Winnipeg,3 broken push mowers
18,20,4,185,Orla MacColgan,"67543 Harvey Crescent, City Of Mississauga, On, Canada",4,Allied Auto Auctions,Winnipeg,1990 Honda Prelude
7,13,3,185,Brendan O'Healy,"13 Salt Kettle, Sandwich,ma, 2563  United States",3,Selkirk Auctioneers,Selkirk,A pile of catalytic converters
6,20,1,185,Darragh Sheahan,"13 Salt Kettle, Sandwich,ma, 2563  United States",1,Mcdougall Auctions,Winnipeg,1990 Honda Prelude
13,2,4,186,Mila Ahren,"322 Burton Street, Powell River, Bc, Canada",4,Allied Auto Auctions,Winnipeg,Fancy stuffed Winnie the Pooh
13,15,1,186,Mila Ahren,"322 Burton Street, Powell River, Bc, Canada",1,Mcdougall Auctions,Winnipeg,Powered swather
23,24,2,190,Braulio Daunte Nacu Acuña,"555 Chemin Demers, Lévis, Qc, Canada",2,Penner Auctions,Steinbach,1995 Subaru WRX
6,18,1,190,Darragh Sheahan,"13 Salt Kettle, Sandwich,ma, 2563  United States",1,Mcdougall Auctions,Winnipeg,Box of nuts and bolts
11,26,3,192,Cora Murry,"12 Oak Street, Town Of Caledon, On, Canada",3,Selkirk Auctioneers,Selkirk,1992 Nissan Figaro
36,4,4,192,Evelyn Gisselle Alonto Capulong,"533 Reunion Common North-west, Airdrie, Ab, Canada",4,Allied Auto Auctions,Winnipeg,Gramophone
28,7,2,193,George Gracia Janani Borja,"123 South Railway Avenue, Chin, Ab, Canada",2,Penner Auctions,Steinbach,Guiness Book of World Records 1998
37,25,3,193,Fernanda Liberty Macapodi Diwata,"344 Reunion Common North-west, Airdrie, Ab, Canada",3,Selkirk Auctioneers,Selkirk,1999 Mazda RX-7
25,25,4,196,Kolton Ginebra Ampuan Fajardo,"9987 Natal Street, Vancouver, Bc, Canada",4,Allied Auto Auctions,Winnipeg,1999 Mazda RX-7
18,4,2,198,Orla MacColgan,"67543 Harvey Crescent, City Of Mississauga, On, Canada",2,Penner Auctions,Steinbach,Gramophone
38,18,3,200,Eleanora Celina Cuajunco Dulay,"568 Chemin Des Quatre-pattes, Grand-remous, Qc, Canada",3,Selkirk Auctioneers,Selkirk,Box of nuts and bolts
39,9,4,201,Carlotta Benita Aniban Alejo,"11 Chemin Des Quatre-pattes, Grand-remous, Qc, Canada",4,Allied Auto Auctions,Winnipeg,1990 Massey Fergison
8,12,2,201,Richard O'Shiel,"28 Rd 1 SW, Waterville,wa, 98858  United States",2,Penner Auctions,Steinbach,5 definitely not stolen bicycles
15,21,3,203,Lena O'Neill,"12 58a Avenue, Lloydminster, Ab, Canada",3,Selkirk Auctioneers,Selkirk,1992 Toyota MR2
6,2,1,204,Darragh Sheahan,"13 Salt Kettle, Sandwich,ma, 2563  United States",1,Mcdougall Auctions,Winnipeg,Fancy stuffed Winnie the Pooh
12,22,4,206,Harper O'Hart,"322 Burton Street, Powell River, Bc, Canada",4,Allied Auto Auctions,Winnipeg,1993 Toyota Soarer
33,5,2,208,Taliyah Kenna Smith Valle,"333 Carré Édouard, Saint-césaire, Qc, Canada",2,Penner Auctions,Steinbach,Beer Stein
7,6,1,209,Brendan O'Healy,"13 Salt Kettle, Sandwich,ma, 2563  United States",1,Mcdougall Auctions,Winnipeg,Box of polka records
10,4,1,209,Hugh MacDonlevy,"28 Rd 1 SW, Waterville,wa, 98858  United States",1,Mcdougall Auctions,Winnipeg,Gramophone
19,8,3,212,Alannah Miley,"555 Chemin Demers, Lévis, Qc, Canada",3,Selkirk Auctioneers,Selkirk,National Geographic Magazines 1988-1996
29,4,1,212,Thomas Lukas Gallóra Pamplona,"123 South Railway Avenue, Chin, Ab, Canada",1,Mcdougall Auctions,Winnipeg,Gramophone
4,18,4,215,Ollie Mullen,"13 Salt Kettle, Sandwich,ma, 2563  United States",4,Allied Auto Auctions,Winnipeg,Box of nuts and bolts
30,2,3,224,Eldora Bianca Tengco Acuesta,"123 South Railway Avenue, Chin, Ab, Canada",3,Selkirk Auctioneers,Selkirk,Fancy stuffed Winnie the Pooh
11,5,2,224,Cora Murry,"12 Oak Street, Town Of Caledon, On, Canada",2,Penner Auctions,Steinbach,Beer Stein
9,12,2,225,Austin Brennan,"28 Rd 1 SW, Waterville,wa, 98858  United States",2,Penner Auctions,Steinbach,5 definitely not stolen bicycles
34,24,1,228,Bridget Geavonna Cadar Montano,"444 Carré Édouard, Saint-césaire, Qc, Canada",1,Mcdougall Auctions,Winnipeg,1995 Subaru WRX
29,20,2,229,Thomas Lukas Gallóra Pamplona,"123 South Railway Avenue, Chin, Ab, Canada",2,Penner Auctions,Steinbach,1990 Honda Prelude
31,2,2,230,Nixzaliz Madisen Gosum Etrone,"76543 Fairmont Terrace South, Lethbridge, Ab, Canada",2,Penner Auctions,Steinbach,Fancy stuffed Winnie the Pooh
11,15,3,231,Cora Murry,"12 Oak Street, Town Of Caledon, On, Canada",3,Selkirk Auctioneers,Selkirk,Powered swather
39,20,3,237,Carlotta Benita Aniban Alejo,"11 Chemin Des Quatre-pattes, Grand-remous, Qc, Canada",3,Selkirk Auctioneers,Selkirk,1990 Honda Prelude
12,15,2,238,Harper O'Hart,"322 Burton Street, Powell River, Bc, Canada",2,Penner Auctions,Steinbach,Powered swather
3,24,4,241,Victor O'Concannon,"4 Ranch K Lane, Nemo,sd, 53359  United States",4,Allied Auto Auctions,Winnipeg,1995 Subaru WRX
21,12,2,241,Toby Reyes Sariua Monteloyola,"555 Chemin Demers, Lévis, Qc, Canada",2,Penner Auctions,Steinbach,5 definitely not stolen bicycles
26,7,2,246,Calvino Florinio Serad Cabangon,"123 South Railway Avenue, Chin, Ab, Canada",2,Penner Auctions,Steinbach,Guiness Book of World Records 1998
1,21,2,248,Tom O'Kirwan,"2 Salt Lake Street, North Las Vegas,nv, 89030  United States",2,Penner Auctions,Steinbach,1992 Toyota MR2
22,9,1,251,Cayden Aaron Ibrahim Ceniza,"555 Chemin Demers, Lévis, Qc, Canada",1,Mcdougall Auctions,Winnipeg,1990 Massey Fergison
4,23,2,253,Ollie Mullen,"13 Salt Kettle, Sandwich,ma, 2563  United States",2,Penner Auctions,Steinbach,1992 Nissan Silvia
36,15,3,254,Evelyn Gisselle Alonto Capulong,"533 Reunion Common North-west, Airdrie, Ab, Canada",3,Selkirk Auctioneers,Selkirk,Powered swather
32,20,4,254,Celesta Micah Marapao Batac,"22 Fairmont Terrace South, Lethbridge, Ab, Canada",4,Allied Auto Auctions,Winnipeg,1990 Honda Prelude
26,22,3,256,Calvino Florinio Serad Cabangon,"123 South Railway Avenue, Chin, Ab, Canada",3,Selkirk Auctioneers,Selkirk,1993 Toyota Soarer
16,8,2,260,Aoibhín O'Higgins,"22 Central Street, City Of Waterloo, On, Canada",2,Penner Auctions,Steinbach,National Geographic Magazines 1988-1996
37,21,1,260,Fernanda Liberty Macapodi Diwata,"344 Reunion Common North-west, Airdrie, Ab, Canada",1,Mcdougall Auctions,Winnipeg,1992 Toyota MR2
35,8,3,263,Eskama Alaina Wood Manabat,"444B Carré Édouard, Saint-césaire, Qc, Canada",3,Selkirk Auctioneers,Selkirk,National Geographic Magazines 1988-1996
27,18,3,263,Felippe German Hussein Bautista,"123 South Railway Avenue, Chin, Ab, Canada",3,Selkirk Auctioneers,Selkirk,Box of nuts and bolts
17,12,3,263,Margaret O'Shiel,"334 Alexander Avenue, Township Of James, On, Canada",3,Selkirk Auctioneers,Selkirk,5 definitely not stolen bicycles
36,13,2,268,Evelyn Gisselle Alonto Capulong,"533 Reunion Common North-west, Airdrie, Ab, Canada",2,Penner Auctions,Steinbach,A pile of catalytic converters
25,7,4,269,Kolton Ginebra Ampuan Fajardo,"9987 Natal Street, Vancouver, Bc, Canada",4,Allied Auto Auctions,Winnipeg,Guiness Book of World Records 1998
11,20,3,279,Cora Murry,"12 Oak Street, Town Of Caledon, On, Canada",3,Selkirk Auctioneers,Selkirk,1990 Honda Prelude
9,22,2,283,Austin Brennan,"28 Rd 1 SW, Waterville,wa, 98858  United States",2,Penner Auctions,Steinbach,1993 Toyota Soarer
19,20,2,283,Alannah Miley,"555 Chemin Demers, Lévis, Qc, Canada",2,Penner Auctions,Steinbach,1990 Honda Prelude
26,25,4,284,Calvino Florinio Serad Cabangon,"123 South Railway Avenue, Chin, Ab, Canada",4,Allied Auto Auctions,Winnipeg,1999 Mazda RX-7
22,6,4,284,Cayden Aaron Ibrahim Ceniza,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Box of polka records
24,24,1,288,Lisandro Elias Chincuanco Tolosa,"555 Chemin Demers, Lévis, Qc, Canada",1,Mcdougall Auctions,Winnipeg,1995 Subaru WRX
15,6,3,288,Lena O'Neill,"12 58a Avenue, Lloydminster, Ab, Canada",3,Selkirk Auctioneers,Selkirk,Box of polka records
7,7,3,290,Brendan O'Healy,"13 Salt Kettle, Sandwich,ma, 2563  United States",3,Selkirk Auctioneers,Selkirk,Guiness Book of World Records 1998
35,10,3,290,Eskama Alaina Wood Manabat,"444B Carré Édouard, Saint-césaire, Qc, Canada",3,Selkirk Auctioneers,Selkirk,1970 Honda Moped
6,8,2,291,Darragh Sheahan,"13 Salt Kettle, Sandwich,ma, 2563  United States",2,Penner Auctions,Steinbach,National Geographic Magazines 1988-1996
33,7,3,293,Taliyah Kenna Smith Valle,"333 Carré Édouard, Saint-césaire, Qc, Canada",3,Selkirk Auctioneers,Selkirk,Guiness Book of World Records 1998
36,9,2,294,Evelyn Gisselle Alonto Capulong,"533 Reunion Common North-west, Airdrie, Ab, Canada",2,Penner Auctions,Steinbach,1990 Massey Fergison
13,15,4,297,Mila Ahren,"322 Burton Street, Powell River, Bc, Canada",4,Allied Auto Auctions,Winnipeg,Powered swather
34,1,3,304,Bridget Geavonna Cadar Montano,"444 Carré Édouard, Saint-césaire, Qc, Canada",3,Selkirk Auctioneers,Selkirk,Old lamp
17,26,4,311,Margaret O'Shiel,"334 Alexander Avenue, Township Of James, On, Canada",4,Allied Auto Auctions,Winnipeg,1992 Nissan Figaro
23,22,3,313,Braulio Daunte Nacu Acuña,"555 Chemin Demers, Lévis, Qc, Canada",3,Selkirk Auctioneers,Selkirk,1993 Toyota Soarer
19,20,3,314,Alannah Miley,"555 Chemin Demers, Lévis, Qc, Canada",3,Selkirk Auctioneers,Selkirk,1990 Honda Prelude
29,11,4,314,Thomas Lukas Gallóra Pamplona,"123 South Railway Avenue, Chin, Ab, Canada",4,Allied Auto Auctions,Winnipeg,Riding Lawnmower
31,3,3,315,Nixzaliz Madisen Gosum Etrone,"76543 Fairmont Terrace South, Lethbridge, Ab, Canada",3,Selkirk Auctioneers,Selkirk,VCR
1,23,1,316,Tom O'Kirwan,"2 Salt Lake Street, North Las Vegas,nv, 89030  United States",1,Mcdougall Auctions,Winnipeg,1992 Nissan Silvia
25,12,1,318,Kolton Ginebra Ampuan Fajardo,"9987 Natal Street, Vancouver, Bc, Canada",1,Mcdougall Auctions,Winnipeg,5 definitely not stolen bicycles
21,16,4,319,Toby Reyes Sariua Monteloyola,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Grandma's candy dish
12,15,1,323,Harper O'Hart,"322 Burton Street, Powell River, Bc, Canada",1,Mcdougall Auctions,Winnipeg,Powered swather
26,8,3,324,Calvino Florinio Serad Cabangon,"123 South Railway Avenue, Chin, Ab, Canada",3,Selkirk Auctioneers,Selkirk,National Geographic Magazines 1988-1996
7,2,4,333,Brendan O'Healy,"13 Salt Kettle, Sandwich,ma, 2563  United States",4,Allied Auto Auctions,Winnipeg,Fancy stuffed Winnie the Pooh
22,12,4,338,Cayden Aaron Ibrahim Ceniza,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,5 definitely not stolen bicycles
